data_time,UE_Pcell_rsrp,UE_Ncell_rsrp_1,UE_Ncell_rsrp_2,UE_mcs2_ul,UE_mcs1_dl,UE_wbCQI,UE_mcs1_dl,Pcell_prb_dl_used,UE_pdu_dl_used,UE_tbs_dl_used,Ncell_prb_dl_used_1,Ncell_prb_dl_used_2,UE_prb_retx_rate
2021-06-21+19_34_20,-65,-98,-85,28,28,15,28,12416,516,1137777,0,0,0.009256304
2021-06-21+19_34_21,-65,-98,-85,28,28,15,27.97449909,13337,554,1222070,0,0,0.005592007
2021-06-21+19_34_22,-66,-98,-85,28,28,15,28,10929,457,1001240,0,0,0.011308124
2021-06-21+19_34_23,-66,-98,-85,28,28,15,27.97522124,13719,568,1257479,0,0,0.007236414
2021-06-21+19_34_24,-66,-98,-85,28,22,15,27.98632813,12431,517,1138870,0,0,0.007980209
2021-06-21+19_34_25,-66,-98,-85,28,28,15,28,6413,271,587069,0,0,0.007736345
2021-06-21+19_34_26,-66,-98,-85,28,28,15,28,6669,284,610392,0,0,0.011120996
2021-06-21+19_34_28,-65,-98,-85,28,28,15,27.99458484,13416,559,1229500,0,0,0.009231224
2021-06-21+19_34_29,-65,-98,-85,28,28,15,28,10909,454,999549,0,0,0.009083477
2021-06-21+19_34_30,-66,-98,-85,28,28,15,27.94455446,12277,509,1124910,0,0,0.004540663
2021-06-21+19_34_31,-66,-91,-85,28,28,15,28,13134,546,1203618,0,0,0.009427559
2021-06-21+19_34_32,-66,-91,-85,28,28,15,27.94797688,12580,524,1152666,0,0,0.004116529
2021-06-21+19_34_33,-66,-89,-85,28,28,15,27.99238095,12767,530,1169741,0,0,0.011765617
2021-06-21+19_34_34,-66,-96,-85,28,28,15,27.95808383,12112,505,1109803,0,0,0.016244314
2021-06-21+19_34_35,-66,-95,-85,28,28,15,28,12412,515,1137396,0,0,0.010128399
2021-06-21+19_34_36,-66,-98,-85,28,28,15,27.91616766,4057,174,370676,0,0,0.012174336
2021-06-21+19_34_37,-66,-98,-85,28,28,15,27.953125,9290,390,850622,0,0,0.028750653
2021-06-21+19_34_38,-66,-99,-85,28,28,15,27.97340426,13659,568,1251793,0,0,0.010862481
2021-06-21+19_34_39,-66,-94,-85,28,28,15,27.92929293,4790,205,437937,0,0,0.015416238
2021-06-21+19_34_40,-66,-99,-85,28,28,15,28,8149,342,746336,0,0,0.00911965
2021-06-21+19_34_41,-66,-98,-85,28,28,15,27.9581749,12726,531,1165833,0,0,0.003913588
2021-06-21+19_34_42,-66,-99,-85,28,28,15,28,11861,492,1087010,0,0,0.014539714
2021-06-21+19_34_43,-66,-98,-85,28,28,15,27.98174442,11904,498,1090441,0,0,0.013753107
2021-06-21+19_34_44,-66,-99,-85,28,28,15,28,12596,525,1154320,0,0,0
2021-06-21+19_34_45,-66,-100,-85,28,28,15,28,12992,539,1190749,0,0,0.001920565
2021-06-21+19_34_46,-66,-86,-85,28,28,15,27.99457505,13463,556,1233869,0,0,0.014638074
2021-06-21+19_34_47,-66,-86,-85,28,28,15,27.94981413,13065,542,1197198,0,0,0.015077271
2021-06-21+19_34_48,-66,-86,-85,28,28,15,27.98553055,15068,626,1380646,0,0,0.013099293
2021-06-21+19_34_49,-66,-86,-85,28,28,15,27.99883314,20804,860,1907268,0,0,0.017288616
